orgao,mes,ds_fonte_recurso,ds_cd_aplicacao_fixo,ds_alinea,ds_subalinea,vl_arrecadacao,cidade,ano
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,17213500 - TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,17213504 - TRANSFERÊNCIAS DIRETAS DO FNDE REFERENTES AO PROGRAMA NACIONAL DE APOIO AO TRANSPORTE DO ESCOLAR - PNATE,"691,76",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"5.413,54",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,17210100 - PARTICIPAÇÃO NA RECEITA DA UNIÃO,17210102 - COTA-PARTE FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS,"-96.139,98",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,19159900 - OUTRAS MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DE OUTRAS RECEITAS,19159901 - OUTRAS MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DE OUTRAS RECEITAS - PRINCIPAL,"21,90",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,310 - SAÚDE - GERAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"69,17",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"149,02",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,260 - EDUCAÇÃO - FUNDEB - RECURSOS PRÓPRIOS,17240100 - TRANSFERÊNCIA DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO  DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB,NA,"50.038,36",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"44,64",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,17220100 - PARTICIPAÇÃO NA RECEITA DOS ESTADOS,17220101 - COTA-PARTE DO ICMS,"145.503,63",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,11212800 - TAXA DE FUNCIONAMENTO DE ESTABELECIMENTOS EM HORÁRIO ESPECIAL,NA,"51,38",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"1.366,75",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,19329900 - RECEITA DA DÍVIDA ATIVA NÃO TRIBUTÁRIA DE OUTRAS RECEITAS,19329901 - RECEITA DA DÍVIDA ATIVA NÃO-TRIBUTÁRIA DE OUTRAS RECEITAS - PRINCIPAL,"224,91",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"28,97",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,"16004200 - SERVIÇOS DE COLETA, TRANSPORTE, TRATAMENTO E DESTINO FINAL DE ESGOTOS",NA,"6.155,70",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,19119900 - MULTAS E JUROS DE MORA DE OUTROS TRIBUTOS,19119901 - MULTAS E JUROS DE MORA DE OUTROS TRIBUTOS,"44,53",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"212,01",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,17220100 - PARTICIPAÇÃO NA RECEITA DOS ESTADOS,17220104 - COTA-PARTE DO IPI SOBRE EXPORTAÇÃO,"-303,24",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,11229900 - OUTRAS TAXAS PELA PRESTAÇÃO DE SERVIÇOS,NA,"1.467,47",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"2,83",parisi,2014
FUNDO MUNICIPAL DE SEGURIDADE SOCIAL - PARISI,Junho,03 - RECURSOS PRÓPRIOS DE FUNDOS ESPECIAIS DE DESPESA-VINCULADOS,600 - RPPS - RECURSOS ESPECÍFICOS - OUTRAS FONTES,12102900 - CONTRIBUIÇÕES PARA O REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO,12102907 - CONTRIBUIÇÃO DO SERVIDOR ATIVO PARA O REGIME PRÓPRIO DE PREVIDÊNCIA,"38.543,18",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,11120800 - IMPOSTO SOBRE A TRANSMISSÃO INTER VIVOS - BENS IMÓVEIS E DIREITOS REAIS SOBRE IMÓVEIS,NA,"1.726,50",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"20,48",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,17213500 - TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,17213599 - OUTRAS TRANSFERÊNCIAS DIRETAS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,"318,21",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,19189900 - OUTRAS MULTAS E JUROS DE MORA,NA,"301,66",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,263 - EDUCAÇÃO - FUNDEB-REMUNERAÇÃO DE APLICAÇÕES FINANCEIRAS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250102 - RECEITA DE REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS - FUNDEB,"314,12",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,17212200 - TRANSFERÊNCIAS DA COMPENSAÇÃO FINANCEIRA PELA EXPLORAÇÃO DE RECURSOS NATURAIS,"17212250 - COTA-PARTE ROYALTIES PELA PARTICIPAÇÃO ESPECIAL - LEI Nº 9.478/97, ART. 50","8.895,41",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,320 - SAÚDE - TAXAS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"18,95",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"20,19",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,17620200 - TRANSFERÊNCIAS CONVÊNIOS DO ESTADO DESTINADAS A PROGRAMAS DE EDUCAÇÃO,NA,"15.074,54",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,11212900 - TAXA DE LICENÇA PARA EXECUÇÃO DE OBRAS,NA,"357,18",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"76,58",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,17220100 - PARTICIPAÇÃO NA RECEITA DOS ESTADOS,17220101 - COTA-PARTE DO ICMS,"-29.100,71",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"78,05",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,17213500 - TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,17213599 - OUTRAS TRANSFERÊNCIAS DIRETAS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,"800,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,100 - GERAL TOTAL,24719900 - OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO,NA,"51.187,50",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,16004500 - SERVIÇOS DE PREPARAÇÃO DA TERRA EM PROPRIEDADES PARTICULARES,NA,"720,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,19131100 - MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,NA,"57,95",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"45,10",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17223300 - TRANSFERÊNCIA DE RECURSOS DO ESTADO PARA PROGRAMAS DE SAÚDE - REPASSE FUNDO A FUNDO,NA,"537,26",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"0,43",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"482,98",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,17213500 - TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,17213501 - TRANSFERÊNCIAS DO SALÁRIO-EDUCAÇÃO,"9.767,80",parisi,2014
FUNDO MUNICIPAL DE SEGURIDADE SOCIAL - PARISI,Junho,03 - RECURSOS PRÓPRIOS DE FUNDOS ESPECIAIS DE DESPESA-VINCULADOS,600 - RPPS - RECURSOS ESPECÍFICOS - OUTRAS FONTES,13281000 - REMUNERAÇÃO DOS INVESTIMENTOS DO REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR EM RENDA FIXA,NA,"80.251,38",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,01 - TESOURO,110 - GERAL,11130500 - IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA,NA,"3.707,68",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Junho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"8,66",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17223300 - TRANSFERÊNCIA DE RECURSOS DO ESTADO PARA PROGRAMAS DE SAÚDE - REPASSE FUNDO A FUNDO,NA,"1.588,50",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"45,41",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,17212200 - TRANSFERÊNCIAS DA COMPENSAÇÃO FINANCEIRA PELA EXPLORAÇÃO DE RECURSOS NATURAIS,"17212250 - COTA-PARTE ROYALTIES PELA PARTICIPAÇÃO ESPECIAL - LEI Nº 9.478/97, ART. 50","8.317,56",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"1.785,41",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,13250200 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS,13250299 - REMUNERAÇÃO DE OUTROS DEPÓSITOS DE RECURSOS NÃO VINCULADOS,"435,27",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,17213600 - TRANSFERÊNCIA FINANCEIRA DO ICMS - DESONERAÇÃO - L.C. Nº 87-96,NA,"-188,08",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,130 - CIDE - CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMÍNIO ECONÔMICO,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250109 - RECEITA DE REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS - CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMÍNIO ECONÔMICO (CIDE),"10,08",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"11,54",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,17213500 - TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,17213599 - OUTRAS TRANSFERÊNCIAS DIRETAS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,"800,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,24720100 - TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS PARA O SISTEMA ÚNICO DE SAÚDE - SUS,NA,"90.000,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"-692,06",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"2.230,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,19131100 - MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,NA,"199,25",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,11120800 - IMPOSTO SOBRE A TRANSMISSÃO INTER VIVOS - BENS IMÓVEIS E DIREITOS REAIS SOBRE IMÓVEIS,NA,"1.357,98",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,17210100 - PARTICIPAÇÃO NA RECEITA DA UNIÃO,17210102 - COTA-PARTE FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS,"412.860,49",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,17220100 - PARTICIPAÇÃO NA RECEITA DOS ESTADOS,17220104 - COTA-PARTE DO IPI SOBRE EXPORTAÇÃO,"1.507,90",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"287,42",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"1,04",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,17213500 - TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,17213504 - TRANSFERÊNCIAS DIRETAS DO FNDE REFERENTES AO PROGRAMA NACIONAL DE APOIO AO TRANSPORTE DO ESCOLAR - PNATE,"691,76",parisi,2014
FUNDO MUNICIPAL DE SEGURIDADE SOCIAL - PARISI,Julho,03 - RECURSOS PRÓPRIOS DE FUNDOS ESPECIAIS DE DESPESA-VINCULADOS,600 - RPPS - RECURSOS ESPECÍFICOS - OUTRAS FONTES,13281000 - REMUNERAÇÃO DOS INVESTIMENTOS DO REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR EM RENDA FIXA,NA,"89.171,42",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"14,95",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,17213400 - TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL - FNAS,NA,"687,50",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,19319900 - RECEITA DA DÍVIDA ATIVA DE OUTROS TRIBUTOS,19319901 - RECEITA DA DÍVIDA ATIVA DE OUTROS TRIBUTOS - PRINCIPAL,"776,15",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,11222100 - TAXAS DE SERVIÇOS CADASTRAIS,NA,"51,12",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"4,65",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,260 - EDUCAÇÃO - FUNDEB - RECURSOS PRÓPRIOS,17240100 - TRANSFERÊNCIA DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO  DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB,NA,"74.513,20",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,510 - ASSISTÊNCIA SOCIAL - GERAL,NA,NA,"327,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"36,01",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"4.430,83",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"1.241,64",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,"16004100 - SERVIÇOS DE CAPTAÇÃO, ADUÇÃO, TRATAMENTO, RESERVA E DISTRIBUIÇÃO DE ÁGUA",NA,"19.046,99",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Julho,01 - TESOURO,110 - GERAL,17220100 - PARTICIPAÇÃO NA RECEITA DOS ESTADOS,17220101 - COTA-PARTE DO ICMS,"231.992,56",parisi,2014
